datetime,bitcoin,ethereum,dogcoin,bnb
15/08/2024 14:38:52,57986.58,2611.88,0.1022,515.88
15/08/2024 14:39:02,57981.61,2611.78,0.1022,515.92
15/08/2024 14:39:12,57981.61,2611.83,0.1022,516.05
15/08/2024 14:39:22,57974.7,2611.86,0.1022,516.02
15/08/2024 14:39:33,57980.75,2612.11,0.1022,515.95
15/08/2024 14:39:43,57978.41,2612.22,0.1022,515.89
15/08/2024 14:39:53,57974.91,2611.7,0.1022,515.89
15/08/2024 14:40:03,57981.56,2611.97,0.1022,515.91
15/08/2024 14:40:13,57977.11,2612.08,0.1022,515.88
15/08/2024 14:40:23,57975.42,2611.96,0.1022,515.88
15/08/2024 14:40:34,57973.11,2611.71,0.1022,515.89
15/08/2024 14:40:44,57980.91,2611.41,0.1022,515.84
15/08/2024 14:40:54,57981.67,2611.48,0.1022,515.84
15/08/2024 14:41:04,57965.75,2611.04,0.1022,515.85
15/08/2024 14:41:14,57966.96,2610.96,0.1022,515.84
15/08/2024 14:41:24,57979.74,2611.63,0.1022,515.84
15/08/2024 14:41:35,57977.62,2611.88,0.1022,515.86
15/08/2024 14:41:45,57968.22,2611.47,0.1022,515.86
15/08/2024 14:41:55,57967.61,2611.15,0.1022,515.86
15/08/2024 14:42:05,57967.25,2611.17,0.1022,515.91
15/08/2024 14:42:15,57971.18,2611.04,0.1022,515.87
15/08/2024 14:42:25,57979.82,2611.0,0.1022,515.97
15/08/2024 14:42:35,57968.54,2610.45,0.1022,516.0
